ido_belyeg,modszer,palya,vegrehajtasi_ido,utkozesek,sikeres,atlag_elteres,max_elteres,rms_palyaelteres,megtett_ut,kerulo_arany,stop_arany,danger_arany,utkozes_idotartam (sec),energia
2026-02-26 14:30:34,a_star_nav2_static,occupancy_grid_1.csv,174.150,0,1,0.0751,0.2277,0.0913,42.632,1.522,0.009,0.155,0.000,5.7388
2026-02-26 14:35:56,a_star_nav2_static,occupancy_grid_1.csv,178.110,0,1,0.0754,0.2273,0.0918,42.604,1.521,0.010,0.098,0.000,5.8674
2026-02-26 14:39:15,a_star_nav2_static,occupancy_grid_1.csv,178.050,0,1,0.0753,0.2312,0.0915,42.643,1.523,0.010,0.098,0.000,5.8012
2026-02-26 14:43:14,a_star_nav2_static,occupancy_grid_1.csv,173.265,0,1,0.0755,0.2307,0.0919,42.618,1.522,0.010,0.098,0.000,5.7380
2026-02-26 14:46:27,a_star_nav2_static,occupancy_grid_1.csv,177.670,0,1,0.0760,0.2375,0.0927,42.605,1.522,0.010,0.099,0.000,5.8336
2026-02-26 14:50:52,a_star_nav2_static,occupancy_grid_1.csv,179.361,0,1,0.0757,0.2240,0.0918,42.613,1.522,0.010,0.103,0.000,5.8115
2026-02-26 14:54:03,a_star_nav2_static,occupancy_grid_1.csv,177.652,0,1,0.0753,0.2256,0.0916,42.616,1.522,0.010,0.102,0.000,5.8325
2026-02-26 14:56:40,a_star_nav2_static,occupancy_grid_2.csv,134.494,0,1,0.0655,0.2054,0.0795,32.824,1.172,0.013,0.103,0.000,4.4581
2026-02-26 14:59:29,a_star_nav2_static,occupancy_grid_2.csv,134.792,0,1,0.0660,0.2044,0.0796,32.835,1.173,0.013,0.102,0.000,4.4486
2026-02-26 15:02:04,a_star_nav2_static,occupancy_grid_2.csv,137.860,0,1,0.0653,0.2044,0.0791,32.819,1.172,0.013,0.103,0.000,4.4955
2026-02-26 15:07:30,a_star_nav2_static,occupancy_grid_2.csv,136.339,0,1,0.0660,0.2078,0.0798,32.831,1.172,0.013,0.105,0.000,4.4911
2026-02-26 15:10:53,a_star_nav2_static,occupancy_grid_2.csv,136.523,0,1,0.0660,0.2052,0.0796,32.832,1.173,0.013,0.100,0.000,4.4805
2026-02-26 15:13:22,a_star_nav2_static,occupancy_grid_2.csv,138.297,0,1,0.0660,0.2092,0.0799,32.625,1.172,0.012,0.103,0.000,4.1521
2026-02-26 15:15:56,a_star_nav2_static,occupancy_grid_2.csv,137.325,0,1,0.0659,0.2074,0.0795,32.837,1.173,0.013,0.101,0.000,4.4965
2026-02-26 15:18:32,a_star_nav2_static,occupancy_grid_2.csv,140.017,0,1,0.0660,0.2109,0.0800,32.825,1.172,0.012,0.103,0.000,4.5269
2026-02-26 15:23:07,a_star_nav2_static,occupancy_grid_3.csv,229.748,0,1,0.0704,0.2955,0.0884,55.481,1.981,0.008,0.135,0.000,7.1517
2026-02-26 15:28:22,a_star_nav2_static,occupancy_grid_3.csv,230.711,0,1,0.0711,0.2973,0.0893,55.453,1.980,0.008,0.146,0.000,7.1166
2026-02-26 15:32:33,a_star_nav2_static,occupancy_grid_3.csv,233.114,0,1,0.0706,0.2969,0.0887,55.458,1.981,0.007,0.146,0.000,7.1728
2026-02-26 17:51:06,a_star_nav2_static,occupancy_grid_3.csv,241.135,0,1,0.0703,0.2963,0.0881,55.463,1.981,0.007,0.142,0.000,7.3865
2026-02-26 17:59:06,a_star_nav2_static,occupancy_grid_3.csv,245.042,0,1,0.0704,0.2958,0.0884,55.434,1.980,0.007,0.107,0.000,7.4395
2026-02-26 18:03:48,a_star_nav2_static,occupancy_grid_3.csv,238.018,0,1,0.0706,0.2962,0.0887,55.439,1.980,0.007,0.160,0.000,7.3311
2026-02-26 18:10:03,a_star_nav2_static,occupancy_grid_3.csv,237.719,0,1,0.0706,0.2916,0.0887,55.428,1.979,0.007,0.163,0.000,7.3349
2026-02-26 18:17:20,a_star_nav2_static,occupancy_grid_3.csv,238.437,0,1,0.0713,0.2965,0.0896,55.456,1.980,0.007,0.165,0.000,7.3632
