futas_azonosito,lepesek_szama,befejezes_oka,mppi_vx_max,mppi_wz_max,mppi_vx_std,mppi_wz_std,mppi_cost_weight,celtol_valo_tavolsag (m),legkozelebbi_akadaly_tavolsag,ossz_haladas,sebessegvaltozas_energia,kapott_pontszam,modell_fajl
run_20260301_111729,1654,goal,0.4318,1.6456,0.1330,0.4084,4.9137,0.5931,6.0000,27.4083,9.2913,862.0083,./ppo_runs/grid_1/run_20260301_111729/ppo_ep_1.pth
run_20260301_112323,1700,goal,0.4294,1.6369,0.1304,0.4080,4.5233,0.5836,6.0000,27.4179,9.0766,857.4179,./ppo_runs/grid_1/run_20260301_112323/latest_2026-03-01_112323.pth
run_20260301_113148,1690,goal,0.4335,1.6459,0.1279,0.4095,4.9451,0.5961,6.0000,27.4053,9.0205,858.4053,./ppo_runs/grid_1/run_20260301_113148/latest_2026-03-01_113148.pth
run_20260301_113507,1695,goal,0.4365,1.6710,0.1299,0.4064,4.5696,0.5932,6.0000,27.4080,8.9805,857.9080,./ppo_runs/grid_1/run_20260301_113507/latest_2026-03-01_113507.pth
run_20260301_114002,1677,goal,0.4247,1.6323,0.1303,0.4129,4.7082,0.5803,6.0000,27.4209,9.2260,859.7209,./ppo_runs/grid_1/run_20260301_114002/latest_2026-03-01_114002.pth
run_20260301_114314,1645,goal,0.4337,1.6517,0.1302,0.4211,4.5749,0.5998,6.0000,27.4017,9.1712,862.9017,./ppo_runs/grid_1/run_20260301_114314/latest_2026-03-01_114314.pth
run_20260301_114710,1783,goal,0.4356,1.6110,0.1279,0.4073,4.6027,0.5797,6.0000,27.4218,9.2790,849.1218,./ppo_runs/grid_1/run_20260301_114710/latest_2026-03-01_114710.pth
run_20260301_115150,1787,goal,0.4328,1.6425,0.1280,0.4040,4.7770,0.5895,6.0000,27.4117,9.3360,848.7117,./ppo_runs/grid_1/run_20260301_115150/latest_2026-03-01_115150.pth
run_20260301_115532,1724,goal,0.4366,1.6348,0.1306,0.4137,4.7889,0.5814,6.0000,27.4201,8.4117,855.0201,./ppo_runs/grid_1/run_20260301_115532/latest_2026-03-01_115532.pth
run_20260301_120004,1813,goal,0.4416,1.6235,0.1284,0.4113,4.6130,0.5880,6.0000,27.4135,9.1482,846.1135,./ppo_runs/grid_1/run_20260301_120004/latest_2026-03-01_120004.pth
run_20260301_121634,1764,goal,0.4282,1.6101,0.1274,0.3325,4.7525,0.5833,6.0000,27.4181,8.4070,851.0181,./ppo_runs/grid_1/run_20260301_121634/latest_2026-03-01_121634.pth
run_20260301_181118,1691,goal,0.4413,1.6173,0.1266,0.3298,4.8655,0.5994,6.0000,27.4021,8.1183,858.3021,./ppo_runs/grid_1/run_20260301_181118/latest_2026-03-01_181118.pth
