inditas_idopont,algoritmus,palya_nev,scenario,fazis,tervezesi_ido (sec),tervezett_ut_hossza (meter),memoria (MB),cpu_kihasznaltsag (%),szamitasok_szama (db)
2026-02-23 08:32:10,D_Star_Lite,/home/ajr/diplomamunka_ws/install/simulation_resources_pkg/share/simulation_resources_pkg/maps/occupancy_grid_3.csv,dynamic,statikus,1.6549736939996365,58.111291324871445,73.69140625,103.1,71530
2026-02-23 08:32:31,D_Star_Lite,/home/ajr/diplomamunka_ws/install/simulation_resources_pkg/share/simulation_resources_pkg/maps/occupancy_grid_3.csv,dynamic,dinamikus,1.640764465000757,58.73711615994961,74.88671875,53.4,119193
2026-02-23 08:36:25,D_Star_Lite,/home/ajr/diplomamunka_ws/install/simulation_resources_pkg/share/simulation_resources_pkg/maps/occupancy_grid_1.csv,dynamic,statikus,2.134435938000024,44.99689969338954,71.51953125,99.9,86908
2026-02-23 08:36:43,D_Star_Lite,/home/ajr/diplomamunka_ws/install/simulation_resources_pkg/share/simulation_resources_pkg/maps/occupancy_grid_1.csv,dynamic,dinamikus,2.2100840619996234,47.66464082244199,72.97265625,55.8,140390
2026-02-23 08:40:10,D_Star_Lite,/home/ajr/diplomamunka_ws/install/simulation_resources_pkg/share/simulation_resources_pkg/maps/occupancy_grid_2.csv,dynamic,statikus,1.661660352000581,34.08794132865538,65.40625,97.8,66394
2026-02-23 08:40:30,D_Star_Lite,/home/ajr/diplomamunka_ws/install/simulation_resources_pkg/share/simulation_resources_pkg/maps/occupancy_grid_2.csv,dynamic,dinamikus,1.464173760000449,36.263430248846014,66.4375,55.7,102288
2026-02-23 08:53:32,D_Star_Lite,/home/ajr/diplomamunka_ws/install/simulation_resources_pkg/share/simulation_resources_pkg/maps/occupancy_grid_2.csv,dynamic,statikus,1.5670600160001413,34.08794132865538,69.38671875,101.2,66394
2026-02-23 08:53:52,D_Star_Lite,/home/ajr/diplomamunka_ws/install/simulation_resources_pkg/share/simulation_resources_pkg/maps/occupancy_grid_2.csv,dynamic,dinamikus,1.37407529399934,36.263430248846014,70.41796875,56.9,102288
2026-02-23 08:54:57,D_Star_Lite,/home/ajr/diplomamunka_ws/install/simulation_resources_pkg/share/simulation_resources_pkg/maps/occupancy_grid_2.csv,dynamic,statikus,1.573734820000027,34.08794132865538,69.46875,98.4,66394
2026-02-23 08:55:17,D_Star_Lite,/home/ajr/diplomamunka_ws/install/simulation_resources_pkg/share/simulation_resources_pkg/maps/occupancy_grid_2.csv,dynamic,dinamikus,1.5028702350000458,36.263430248846014,70.61328125,57.4,102288
